ticker,year,sector,revenue_mln,ebitda_mln,net_profit_mln,equity_mln,assets_mln,net_debt_mln,total_debt_mln,cash_mln,CFO_,CAPEX_,FCF,interest_expense_mln,interest_income_mln,ev_mln,market_cap_mln,roe_pct,roa_pct,net_margin_pct,ebitda_margin_pct,net_debt_to_ebitda,debt_to_equity,debt_to_ebitda,equity_to_assets_pct,pe,pbv,ps,ev_ebitda,EV_Sales,p_fcf,fcf_yield_pct,div_yield_pct,payout_ratio_pct,revenue_yoy_pct,ebitda_yoy_pct,revenue_cagr3y_calc,ebitda_cagr3y_calc,mom_12_1_pct,mom_6_1_pct,mom_3_0_pct,total_return_pct,vol_price_pct,down_vol_pct,idio_vol_pct,beta_imoex,amihud_12m,turnover_12m,log_market_cap,price_start,price_end,cost_of_risk_pct,coverage_ratio_pct,credit_portfolio_mln,customer_funds_mln,loans_to_assets_pct,loans_to_customer_funds_pct,nim_pct,npl_ratio_pct,operating_expenses_mln,provisions_stock_mln,oil_capex_mln,oil_cogs_mln,oil_div_payout_pct,oil_fcf_margin_pct,oil_fcf_mln,oil_gross_profit_mln,oil_ocf_mln,oil_operating_income_mln,liquidity_master,is_delisted,delist_year,gov_share_pct,is_state_owned,gdp_growth_yoy_pct,gdp_nominal_bln,fnb_bln,tax_revenue_fed_bln,ndpi_tax_bln,corruption_rank,budget_expenditure_mln,budget_balance_to_gdp_pct,military_spending_mln_usd,oil_gas_revenue_bln,money_supply_m2_bln,money_supply_broad_bln,ofz_market_volume_bln,mortgage_securitization_bln,corporate_defaults_count,nonresident_share_eurobonds_pct,avg_credit_rate_pct,cbr_balance_mln,deposit_rate_pct,corporate_loans_mln,private_sector_loans_mln,bank_securities_bln,bank_bonds_bln,consumer_lending_bln,banks_net_profit_bln,interest_rate_spread_pct,bankruptcies_count,manufacturing_confidence,labor_productivity_yoy_pct,gdp_usd_bln,gdp_agriculture_bln,gdp_construction_bln,gdp_manufacturing_bln,gdp_mining_bln,gdp_electricity_bln,oil_production_kbpd,gold_reserves_tonnes,industrial_production_yoy_pct,mining_production_yoy_pct,steel_production_kt,key_rate_pct,refinancing_rate_pct,foreign_trade_turnover_bln,retail_trade_yoy_pct,oil_export_mln_usd,gasoline_price_usd,housing_price_index,ruonia_index,moex_bluechip_index,default_probability_pct,inflation_dec_yoy_pct,gdp_quarterly_yoy_pct,gov_borrowing_gross_bln,gov_borrowing_net_bln,ofz_pk_gross_bln,ofz_fixed_gross_bln,total_ofz_gross_bln,ofz_pk_share_pct,accruals_ratio,cash_conversion,interest_coverage,capex_to_revenue,fcf_to_net_profit,cash_to_total_debt,lag1_roe_pct,lag1_roa_pct,lag1_net_margin_pct,lag1_ebitda_margin_pct,lag1_net_debt_to_ebitda,lag1_debt_to_equity,lag1_div_yield_pct,lag1_payout_ratio_pct,trend3y_roe_pct,trend3y_net_margin_pct,trend3y_net_debt_to_ebitda,vol3y_net_profit,vol3y_ebitda,dps_rub,div_paid_flag,div_streak,div_growth_streak,div_cut_count_5y,dps_cagr_3y,free_float_pct,listing_level,statutory_tax_rate_raw,statutory_tax_rate_filled,statutory_tax_rate_fill_method,tax_rate_source_type,tax_rate_source_name,tax_rate_source_url,tax_source_quality_score,total_income_tax_expense,current_income_tax_expense,deferred_income_tax_expense,profit_before_tax,effective_tax_rate_raw,effective_tax_rate_filled,effective_tax_rate_fill_method,current_tax_rate_raw,current_tax_rate_filled,current_tax_rate_fill_method,tax_calc_reason,tax_imputed_company_level,tax_source_url,tax_source_name,steel_global_hrc_avg_y,steel_global_hrc_eoy,steel_global_hrc_yoy,steel_global_rebar_avg_y,steel_global_rebar_eoy,steel_global_rebar_yoy,iron_ore_avg_y,iron_ore_eoy,iron_ore_yoy,steel_russia_domestic_avg_y,steel_russia_domestic_eoy,steel_russia_domestic_yoy,steel_russia_primary_series,steel_russia_primary_series_type,steel_russia_proxy_level,steel_russia_is_proxy,steel_russia_source_url,steel_russia_source_name,steel_spread_russia_vs_global,steel_spread_russia_vs_global_zscore,div_cut_count,usdrub_avg,brent_usd,cbr_bci,inter_brent_x_fcf,inter_usdrub_x_revenue,inter_bci_x_streak
ABIO,2011,Здравоохранение,262.076,19.059,20.943,448.168,624.913,-6.91,,17.363,42.117,30.446,11.671,,,728375.727,739.4771999999999,4.67,3.351346507433835,7.99,7.27231795357072,-0.3625583713731045,0.39,-0.3625583713731045,71.71686298732783,39.81,1.65,2.821613577740807,38216.89107508263,2779.2538309498,63.36022620169651,1.578277193671421,,,,,,,,,,,,,,,,,6.605943450032547,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,3.995,60114.0008368756,2794.43,452.3,182.02,143.0,20004848.3,0.8,70237.5,,7149.6,8644.1,2903.285,87.06501,71.0,76.0,9.3,18562735,6.9,13878544.0,19105863.0,5781.50795,4725.01236,,692.80554,4.0167,2363.0,-6.0,3.3,2045.92,1154.4,2046.0,3738.8,3777.6,777.8,9869,882.96,4.1,1.3,5886,,,,9.4,49413.0,,105.83,1.06816,9592.15,,106.1,1.2,,,,,,,,,,0.1161724080037852,0.5572745069951773,,,,,,,,,,,,,,,,0,0,0,0.0,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,700.9166666666666,641.0,0.1732459199330451,695.4166666666666,651.0,0.2440369707811567,167.7541666666667,136.39,0.1500788644996018,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,29.39,111.26,9.33,111.26,7.70241364e-05,0.0
ABIO,2012,Здравоохранение,299.664,-100.11,-108.114,345.868,682.603,125.278,,26.671,-55.457,32.148,-87.605,,,,1020.3106,-31.26,-15.83848884344194,-36.08,-33.40741630626302,-1.251403456198182,0.97,-1.251403456198182,50.66898328896885,-9.1,2.95,3.404848763948956,,,-11.64671651161463,-8.58611093523874,,,14.34240449335306,-625.2636549661577,,,,,,,,,,,,,6.927862369728538,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,4.024,68103.449627683,2690.63,512.8,199.4,133.0,22825765.6,-0.1,81469.4,,7959.7,9852.8,3296.73,142.95336,15.0,71.5,9.4,20630744,7.0,16435183.0,23927880.0,6408.62995,5214.53907,,807.53465,3.5667,2395.0,-5.0,3.8,2208.29,1086.5,2146.9,4006.1,3808.0,787.8,10018,957.76,2.8,0.7,5626,,,,5.0,46629.0,0.99,112.11,1.12753,10102.06,,106.6,0.1,,,,,,,,,,0.1072801537722249,0.8103020885361748,,4.67,,,7.27231795357072,-0.3625583713731045,0.39,,,,,,,,,0,0,0,0.0,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,622.5833333333334,556.0,-0.111758411603852,656.6666666666666,615.0,-0.0557219892150988,128.4959259259258,128.51111111111,-0.2340224479714314,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,31.07,111.63,9.23,-111.63,9.31056048e-05,0.0
ABIO,2013,Здравоохранение,419.77,65.503,16.67,362.322,729.025,110.803,,18.12,82.508,34.504,48.004,,,1433.192683,,4.600879880327444,2.286615685333151,3.971222336041166,15.60449770112204,1.691571378410149,,,,,,,21.879802192266,3.414233230102199,,,,,40.08022318329863,165.4310258715413,,,,,,,,,,,,,,,19.108,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,1.755,72985.7011300996,2900.64,523.9,220.1,127.0,24931128.3,-0.5,88352.9,,8598.2,10503.9,3734.835,235.62137,13.0,68.0,9.4,22562411,6.2,18191891.0,27911827.0,7155.53272,6182.41574,,804.96342,3.875,2938.0,-8.0,2.1,2292.47,1263.3,2114.8,3999.3,3848.2,752.9,10170,1035.21,0.4,2.0,5798,5.5,,,3.5,45688.0,1.0,103.57,1.19744,10163.1,,106.5,0.6,825.0,417.0,0.0,825.0,825.0,0.0,-0.0903096601625458,1.259606430239836,,0.0821973938108964,2.879664067186562,,-31.26,,,-33.40741630626302,-1.251403456198182,0.97,,,,,0.932132407291928,,,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,576.5,568.0,-0.0740195422299558,617.75,616.0,-0.0592639593908629,135.3611885417325,135.79047619048,0.0534278621391024,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,31.91,108.56,7.77,108.56,0.000133948607,0.0
ABIO,2014,Здравоохранение,359.371,31.463,-16.602,421.89,805.614,28.025,,70.84100000000001,38.226,32.854,5.372,,,847.457184,,-3.935148972480978,-2.060788417281725,-4.619738376218448,8.75501918630051,0.8907287925499793,,,,,,,26.93504065092331,2.358167976826177,,,,,-14.38859375372228,-51.96708547700105,0.11097748805339,,,-19.37187522005494,-6.354788582644977,-23.66666666666667,133.1064881200281,165.0640070354836,132.513012818458,-0.2399976746013419,,,,15.0,11.45,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,0.736,79030.0400754322,4388.09,601.3,225.6,136.0,27215950.8,-0.5,84696.5,,9139.8,11332.0,4693.16417,418.69456,23.0,53.9,16.7,32897557,12.74,20849792.0,31878575.0,8313.65924,8068.19942,,517.63494,5.1,3543.0,-10.0,0.8,2059.24,1191.8,2077.0,4167.7,3960.5,764.8,10197,1208.19,3.9,3.1,6153,17.0,,,5.1,32504.0,0.86,105.12,1.30295,9298.92,,111.4,-0.2,362.0,-76.0,0.0,362.0,362.0,0.0,-0.0680574071453574,1.214950894701713,,0.0914208436406944,-0.3235754728345983,,4.600879880327444,2.286615685333151,3.971222336041166,15.60449770112204,1.691571378410149,,,,,,0.8381446991258398,,,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,558.1666666666666,524.0,-0.0318010985834056,587.4166666666666,529.0,-0.0491029272898961,96.95246212121248,68.39,-0.2837499200051602,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,38.6,98.97,4.07,98.97,0.000138717206,0.0
ABIO,2015,Здравоохранение,310.821,-29.492,-62.525,359.401,832.534,63.912,,50.761,4.6,19.3,-14.7,,,,,-17.39700223427314,-7.510203787472943,-20.11607967286637,-9.488419379642943,,,,,,,,,,,,,,-13.50971558639956,-193.7354988399072,0.0122596531996392,,-8.296943231441045,12.29946524064172,1.951219512195124,-6.278026905829604,45.62363153690724,25.85031752236657,44.75564381215232,0.4119025465192872,,,,11.15,10.45,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,-1.973,83087.3600554023,5227.18,628.1,221.4,119.0,29307780.5,-2.4,66421.8,,8745.9,11043.8,4990.5442,455.57103,89.0,34.2,13.9,34947185,8.83,21253717.0,31649545.0,10051.14972,9703.82954,,113.95862,6.5208,3212.0,-11.0,-1.3,1363.48,1251.9,2130.5,4280.8,4056.2,758.1,10407,1414.54,-1.9,0.3,5950,11.0,,,-14.2,19988.0,0.52,96.79,1.48142,11637.9,,112.9,-0.3,682.0,82.0,182.0,500.0,682.0,26.68621700879766,-0.0806273377423624,-0.155974501559745,,0.062093616583178,0.2351059576169532,,-3.935148972480978,-2.060788417281725,-4.619738376218448,8.75501918630051,0.8907287925499793,,,,-1.272385902793219,-1.258609474492602,,1.910060736765426,2.139881667838551,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,397.9166666666667,309.0,-0.2871006270528515,442.8333333333333,364.0,-0.2461342034331111,55.85416666666666,40.5,-0.4239015137456093,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,61.32,52.32,-1.45,-52.32,0.0001905954372,0.0
ABIO,2016,Здравоохранение,390.356,-102.557,-130.968,238.631,1039.191,60.706,,285.545,36.0,67.0,-31.0,,,,,-54.883062133587,-12.60288050993513,-33.55091250038426,-26.27268442139995,,,,,,,,,,,,,,25.58868287535268,-247.7451512274515,-0.0239250797730241,,88.03827751196171,-0.2538071065989911,-1.366120218579236,73.5576923076923,71.78174044715769,32.20808458034698,71.59684692306014,0.1590972582856097,,,,10.4,18.05,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,0.194,85616.0838147386,4359.16,637.6,260.8,131.0,30888762.9,-3.4,69245.3,,9076.1,11882.7,5632.72924,496.60972,104.0,29.9,11.99,28974106,6.9,22036746.0,32680358.0,9808.66871,9301.78072,,694.14288,5.6292,3281.0,-8.0,0.1,1276.79,1269.9,2180.6,4364.3,4115.0,797.6,10830,1615.22,4.1,4.0,6190,10.0,10.0,,-5.6,21507.0,0.63,97.02,1.64573,14736.86,,105.4,0.8,1050.0,410.0,357.0,693.0,1050.0,34.0,-0.1606711374521142,-0.351024308433359,,0.1716381969279324,0.2366990409871114,,-17.39700223427314,-7.510203787472943,-20.11607967286637,-9.488419379642943,,,,,-1.002711484915684,-0.7445392935432712,,0.8217903973531547,2.001306125626666,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,364.6666666666667,421.0,-0.0835602094240838,397.75,411.0,-0.1018065487391794,58.42416666666667,80.02,0.0460126818351362,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,66.83,43.64,0.5,-43.64,0.0002608749148,0.0
ABIO,2017,Здравоохранение,494.441,-66.147,-109.975,128.556,1053.221,307.311,,106.776,-20.0,213.0,-233.0,,,,,-85.54637667631225,-10.44177812633816,-22.24228977774901,-13.37813813983873,,,,,,,,,,,,,,26.66412198096096,35.50220852794055,0.1122194425895953,,-36.01108033240997,-3.749999999999998,-12.87878787878788,-36.11111111111111,43.50863838774006,28.18729035041925,43.20844810181215,0.3232200585830993,,,,18.0,11.5,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,1.827,91843.1542413524,3752.94,993.9,426.5,135.0,31989128.0,-1.5,66913.0,,9854.1,14701.5,6779.5743,490.38698,104.0,38.0,9.73,30815106,5.38,24380792.0,36446250.0,10198.32323,9916.72144,,539.08384,4.6992,3770.0,-5.0,2.1,1574.2,1268.3,2154.2,4379.8,4059.2,753.7,10527,1838.76,-1.7,-1.1,6240,7.75,7.75,,3.3,25082.0,0.71,98.38,1.80019,13672.33,0.27,102.51,0.0,1756.0,1091.0,559.0,1197.0,1756.0,31.83371298405467,-0.0854284143593794,0.3023568718158042,,0.4307895178595627,2.118663332575585,,-54.883062133587,-12.60288050993513,-33.55091250038426,-26.27268442139995,,,,,-0.6476992130516854,-0.0420148244767048,,0.3466270079643435,0.5529763738016987,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,510.6666666666667,561.0,0.4003656307129799,486.9166666666667,548.0,0.2241776660381311,71.76,72.25,0.2282588540700909,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,58.3,54.13,2.57,-54.13,0.000288259103,0.0
ABIO,2018,Здравоохранение,644.688,2.796,-18.243,121.754,1124.762,310.051,,64.413,20.0,35.0,-15.0,,,586.745638,,-14.98349130213381,-1.621943131080175,-2.829740897922716,0.4336981609708883,,,,,,,,,0.9101234054302236,,,,,30.38724539429376,104.2269490679849,0.2753021084570197,,-29.56521739130435,-14.73684210526316,-18.65979381443299,-32.56410256410256,40.86007883607662,25.58433472775511,40.45600841309128,0.2986134168218393,,,,11.7,7.89,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,2.806,103861.651089246,4036.048,1163.3,505.8,138.0,33880685.6,2.9,61609.2,836.1,10646.9,16063.4,7511.60703,554.907,105.0,45.6,9.24,39368943,5.64,27491225.0,42281884.0,11085.29924,11066.28283,,997.8892,3.5025,3327.0,-8.0,3.1,1657.33,1336.2,2160.8,4556.1,4287.1,780.2,10629,2113.03,6.4,7.3,6184,7.75,7.75,62834.9308,2.7,34970.0,0.68,104.09,1.9332,15796.11,1.18,104.26,0.7,1037.0,475.0,334.0,703.0,1037.0,32.20829315332691,-0.03400097087206,7.15307582260372,,0.0542898270170997,0.82223318533136,,-85.54637667631225,-10.44177812633816,-22.24228977774901,-13.37813813983873,,,,,0.385098950287058,0.7860703490321177,,0.6938770984506827,0.967532609917531,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,590.75,562.0,0.1568211488250652,572.6666666666666,530.0,0.1761081636145813,69.75166666666667,69.16,-0.0279868078781123,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,62.93,71.34,2.45,-71.34,0.0004057021584,0.0
ABIO,2019,Здравоохранение,835.575,198.106,111.335,370.729,1399.042,304.47,,89.745,176.0,200.0,-24.0,,,972.214725,,30.03137062382495,7.957945508426481,13.32435747838315,23.70894294348203,1.536904485477472,,,,,,,4.90754810555965,1.163527780271071,,,,,29.60920631375178,6985.336194563663,0.288768342607356,,54.75285171102664,37.5,-13.3422281521014,63.19095477386936,73.99028776520672,31.34825266283255,73.84327169675183,0.008754051790023,,,,7.96,12.99,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,2.198,109608.30574101,7773.06,1388.8,503.4,137.0,36995282.6,1.9,65201.3,658.8,10979.7,16823.4,8969.10849,772.59929,96.0,54.8,7.8,40513074,4.74,29742572.0,47310741.0,11685.254149,10360.564351,8925.502793,1715.087349,3.3492,3147.0,-2.0,2.4,1693.12,1402.7,2107.4,4726.8,4326.1,768.8,10412,2271.16,1.7,1.6,6159,6.25,6.25,61572.653,1.8,30821.0,0.73,103.78,2.07683,20823.93,0.14,103.04,-0.5,2087.0,1495.0,989.0,1098.0,2087.0,47.38859607091519,-0.0462209140254545,0.8884132737019576,,0.2393561320049068,-0.2155656352449814,,-14.98349130213381,-1.621943131080175,-2.829740897922716,0.4336981609708883,,,,,1.327856742216831,1.389452848276933,,19.75828215360423,3.051533536332476,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,504.6666666666667,435.0,-0.1457187191423331,504.0833333333333,457.0,-0.1197613504074505,93.84916666666668,92.65,0.3454756158753675,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,64.62,64.3,3.42,-64.3,0.000539948565,0.0
ABIO,2020,Здравоохранение,1084.023,204.561,103.404,415.0,1512.095,206.067,,107.391,54.0,86.0,-32.0,,,2858.348676,,24.91662650602409,6.838459223792155,9.538911997254672,18.87054056971116,1.007362107146524,,,,,,,13.97308712804493,2.636797075338808,,,,,29.73377614217753,3.258356637355765,0.2990962832457296,,198.0754426481909,49.96127033307513,11.57894736842104,188.6535552193646,102.8967600899346,47.49900847898336,102.1753363609131,0.3943212490353713,,,,13.22,38.16,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0,-2.654,107658.13102957,13545.66,1347.1,335.5,129.0,42150920.5,-4.0,61712.5,453.0,13826.3,18472.4,13709.98299,1040.8631,140.0,55.1,6.18,50272621,3.42,33136556.0,53086129.0,15691.772299,15530.538308,9707.467116,1608.061621,3.0067,2467.0,-1.2,-0.4,1493.08,1359.9,2109.8,4848.0,4008.9,765.1,9140,2298.53,2.1,-6.0,6110,4.25,4.25,60358.4396,-2.2,17314.0,0.64,109.46,2.1815731655,21651.06,0.3,104.9,0.7,5310.0,4613.0,2717.0,2593.0,5310.0,51.16760828625235,0.0326725503357923,0.2639799375247481,,0.0793341100696203,-0.3094657846891803,,30.03137062382495,7.957945508426481,13.32435747838315,23.70894294348203,1.536904485477472,,,,0.8558401666289236,0.722102201066251,,1.108888921616032,0.8484456649137592,,0,0,0,,,18.0,2.0,0.2,0.2,none,official,Russian Tax Code Art. 284; OECD CTS 2025,https://www.oecd.org/en/data/datasets/corporate-income-tax-rates-database.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,,452.0833333333333,526.0,-0.1041941875825628,457.5833333333333,484.0,-0.0922466523392295,108.9183333333333,155.43,0.1605679325868636,,,,,missing,missing,,,Not available: Rosstat product-level steel prices require CEIC/Rosstat EMISS paid access,,,0,72.32,41.96,-5.24,-41.96,0.0007839654335999,0.0
