ticker,year,country,currency,sector,super_sector,revenue_mln,ebitda_mln,net_profit_mln,operating_income_mln,equity_mln,assets_mln,total_liabilities_mln,net_debt_mln,total_debt_mln,short_debt_mln,cash_mln,fcf_mln,interest_expense_mln,ev_mln,market_cap_mln,total_shares_mln,buyback_mln,roe_pct,roa_pct,net_margin_pct,ebitda_margin_pct,gross_profit_margin_pct,equity_ratio,leverage_ratio,asset_turnover,net_debt_to_ebitda,debt_to_equity,debt_to_ebitda,interest_coverage,pe,pbv,ps,ev_ebitda,ev_to_sales,pcf,fcf_yield_pct,book_to_market,div_yield_pct,payout_ratio_pct,buyback_yield_pct,total_shareholder_yield_pct,div_per_share,revenue_yoy_pct,ebitda_yoy_pct,net_income_yoy_pct,roe_yoy_pct,assets_growth_pct,revenue_cagr_3y,ebitda_cagr_3y,mom_12_1_pct,mom_6_1_pct,mom_3_0_pct,total_return_pct,fwd_ret_cal_year_pct,volatility_pct,beta_market,turnover_12m,log_market_cap,price_start,price_end,volume_total,operating_revenue_per_share,is_mitsubishi,is_mitsui,is_sumitomo,is_fuyo,is_sanwa,is_dkb,is_independent,is_big3_zaibatsu,is_postwar_group,is_any_keiretsu,keiretsu_strength,presidents_club,is_bank,is_bank_strict,is_financials_ex_banks,bank_cet1,bank_tier1,bank_total_car,bank_npl,bank_coverage,bank_nim,bank_cost_income,bank_roe,revenue_mln_filled,nikkei_225_eoy,topix_eoy,usdjpy_eoy,sp500_eoy,oil_eoy,gold_eoy,vix_avg,us_10y_avg,jgb_10y_avg,boj_rate_avg,japan_unemp_avg,credit_spread_avg,us_term_spread_avg,japan_term_spread_avg,us_japan_spread_avg,japan_cpi_yoy_avg,japan_ip_yoy_avg,nikkei_225_ret_yr,topix_ret_yr,nikkei_vol_avg,div_paid_flag,div_streak,div_growth_streak,div_cut_count_5y,dps_cagr_3y,accruals_ratio,cash_conversion,fcf_to_net_profit,cash_to_total_debt,lag1_roe_pct,lag1_roa_pct,lag1_net_margin_pct,lag1_ebitda_margin_pct,lag1_net_debt_to_ebitda,lag1_debt_to_equity,lag1_div_yield_pct,lag1_payout_ratio_pct,trend3y_roe_pct,trend3y_net_margin_pct,trend3y_net_debt_to_ebitda,vol3y_net_profit,vol3y_ebitda,statutory_tax_rate_raw,statutory_tax_rate_filled,statutory_tax_rate_fill_method,tax_rate_source_type,tax_rate_source_name,tax_rate_source_url,tax_source_quality_score,total_income_tax_expense,current_income_tax_expense,deferred_income_tax_expense,profit_before_tax,effective_tax_rate_raw,effective_tax_rate_filled,effective_tax_rate_fill_method,current_tax_rate_raw,current_tax_rate_filled,current_tax_rate_fill_method,tax_calc_reason,tax_imputed_company_level,tax_source_url,tax_source_name
1332,2011,JP,JPY,Consumer Staples,Domestic Demand & Services,494294.0,3131.0,-2130.0,8088.0,70806.0,399718.0,328912.0,239133.0,249095.0,129277.0,9962.0,-12903.3576642336,1995.0,312316.513128,73183.513128,277.210277,2.0,,,-0.4309176320165731,0.63342868818962,,0.1771398836179507,0.8228601163820494,1.236606807799499,,3.518,,4.054135338345865,,1.033577848317939,0.752483835062736,99.74976465282658,0.6318436257126326,32.2088885320835,-17.63150894610002,0.9675129953949919,3.78787878787879,,0.00273285595965029,3.79061164383844,5.0,,,-2193.1818,-1.89745713356225,4.1138,,,1.555796302905188,-0.5338213556279725,-12.24490183171563,7.165017662932915,-32.16374445968765,24.96331670778754,0.840151128113151,146.602284878493,11.2007254440894,195.4027404785156,209.4033813476562,405993300.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,494294.0,7008.8798828125,574.6023559570312,77.65899658203125,1257.599975585938,107.379997253418,1565.800048828125,24.10042302791889,2.782884615384615,1.100742307692308,0.0773730769230769,4.621153846153846,2.879807692307693,2.332846153846154,1.023369230769231,1.682142307692308,-0.2530219437143258,-3.727181886637822,-0.1922713626938194,-0.2144373433866288,0.192158753069345,1,1,0,,,0.02695239559948163,-4.121161821856787,6.057914396353802,0.03999277384130553,,,,,,,,,,,,,,0.3954,0.3954,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2012,JP,JPY,Consumer Staples,Domestic Demand & Services,538030.0,22314.0,8929.0,9553.0,63932.0,400885.0,336953.0,230876.0,240503.0,120711.0,9627.0,12425.2309250506,3730.0,301711.429306,49343.429306,277.210277,1.0,4.1636,0.5011,1.659572886270282,4.147352378120179,22.2532,0.1594771567906008,0.8405228432093992,1.342105591379074,10.34668817782558,3.7619,10.7781213587882,2.56112600536193,185.417868777916,0.7718111322342489,0.691315065644109,13.5211718789101,0.560770643469695,-168.990570090186,25.18112563274911,1.295653765844485,4.21348314606742,138.190566799601,0.002026612284684484,4.215509758352104,5.0,8.848175377406964,,317.8067,6.19447110213485,0.292,,,-45.38184683691671,-32.40740327426865,-13.09524908055324,-32.16374445968765,30.60109453330471,38.07254204488038,1.14026103534925,143.612099922255,10.80655989123517,211.7829437255859,143.6656188964844,398110000.0,1940.8732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,538030.0,8693.6279296875,680.204833984375,85.95999908447266,1426.18994140625,111.1100006103516,1674.800048828125,17.82823752991541,1.801954022988506,0.8441226053639846,0.0828505747126436,4.345977011494253,3.135172413793103,1.526053639846743,0.761272030651341,0.9578314176245212,-0.0485699355316668,2.247740648735787,0.2505883462730296,0.186991663827303,0.1536664641859529,1,2,0,0.0,,-0.008721281477357847,0.5568356603500314,1.391559068770366,0.04002860671176659,,,-0.4309176320165731,0.63342868818962,,3.518,3.78787878787879,,,,,,,0.3954,0.3954,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2013,JP,JPY,Consumer Staples,Domestic Demand & Services,566858.0,18940.0,2840.0,5809.0,63297.0,421645.0,358348.0,248570.0,262676.0,130736.0,14106.0,-1554.9496797804,3766.0,320372.256203,66253.256203,277.210277,0.0,-10.0103,-1.1645,0.5010073069445964,3.341224786454456,21.2078,0.1501191760841466,0.8498808239158534,1.344396352381743,13.12407602956705,4.1499,13.8688489968321,1.542485395645247,,1.046704523168555,0.656157705754351,16.9151138438754,0.5651719764085539,116.70795254738,-2.346978501729837,0.9553794579704576,,,0.0,0.0,,5.358065535379075,-15.12055211974546,-338.7338,-13.9924696320188,5.1785,,,23.62634714366589,15.38461463883782,6.635082895080502,30.60109453330471,57.7405805116008,17.75543536601445,0.270035166167371,191.492684089775,11.1012398928746,147.7011413574219,192.8993072509766,543869400.0,2044.8665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,566858.0,13769.822265625,1047.966430664062,104.9339981079102,1848.359985351562,110.8000030517578,1201.900024414062,14.23099617209014,2.346053639846744,0.6936053639846743,0.0730229885057471,4.075095785440612,2.751685823754789,2.039425287356322,0.6205823754789271,1.652448275862069,0.1285594606086832,-2.052918611836621,0.5278436578708074,0.4782265292259533,0.2473552209029682,0,0,0,0.0,,0.01042334115139608,-0.08209871593349524,-0.5475174928804225,0.05370113752303218,4.1636,0.5011,1.659572886270282,4.147352378120179,10.34668817782558,3.7619,4.21348314606742,138.190566799601,,0.5394129197530414,,1.723911429582077,0.6922083563425763,0.3699,0.3699,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2014,JP,JPY,Consumer Staples,Domestic Demand & Services,604249.0,32374.0,5020.0,13931.0,83732.0,431643.0,347911.0,249297.0,256146.0,127887.0,6849.0,-3821.0191978369,3277.0,357825.274429,104508.274429,277.210277,1.0,6.4682,0.8799,0.8307833360088308,5.357725043814718,20.5232,0.1939843806108288,0.8060156193891711,1.399881383458089,7.700531290541793,3.0591,7.912089948724285,4.251144339334758,99.0805127246937,1.248128247611427,0.615554588867338,11.05285953014765,0.5921818231043824,-85.1529864396749,-3.656188200134137,0.8011997179886955,,,0.0009568620336176081,0.0009568620336176081,,6.596184582382181,70.92925026399155,178.388,15.2848637750606,2.3712,6.924411144321896,117.8567889973872,96.20856757963926,32.26835408846522,43.2525987321305,57.7405805116008,84.52706506122682,50.61861641993131,1.82864015535455,238.94705750754,11.5570215283911,192.8993072509766,304.2804870605469,662385800.0,2179.7496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,604249.0,14979.732421875,1156.408447265625,119.4580001831055,2058.89990234375,57.33000183105469,1183.900024414062,14.11957857709278,2.543524904214559,0.5337816091954023,0.0675095785440613,3.645593869731801,2.31272030651341,2.082260536398468,0.466272030651341,2.009743295019157,2.637388316015317,2.731397270307622,0.1140078999679217,0.1076490388848232,0.1812496521079621,0,0,0,0.0,,0.02048224851981128,-0.1180274046406653,-0.7611592027563545,0.02673865685975967,-10.0103,-1.1645,0.5010073069445964,3.341224786454456,13.12407602956705,4.1499,,,0.1674684261775692,-0.4155911888498546,-0.1273362325023902,0.5512791469410842,0.2847611735280513,0.3699,0.3699,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2015,JP,JPY,Consumer Staples,Domestic Demand & Services,638435.0,41083.0,10492.0,18110.0,104225.0,459293.0,355068.0,243885.0,254340.0,139941.0,10455.0,7543.7147983757,3035.0,435157.778083,188225.778083,277.210277,1.0,13.5581,2.307,1.64339361093925,6.434954224000877,20.7883,0.2269248606009671,0.7730751393990328,1.3900386028091,5.936397049874644,2.4403,6.190881873280919,5.967051070840197,36.192297827041,1.80595613416167,0.58259375624535,10.59216167473164,0.6816007551011457,113.745640601988,4.007801096749471,0.5537233053914696,0.736377025036819,8.09215559988323,0.000531276858135255,0.7369083018949543,3.0,5.657601419282443,26.90121702600852,173.7613,6.3894649277047,6.4058,5.869305756352072,22.56361828802995,4.837403785529792,21.5139784181188,18.82024482108242,84.52706506122682,-16.81617384112507,63.92501409761788,0.681397843127326,280.051269527789,12.14539746850178,301.0521545410156,555.522705078125,712476200.0,2303.0712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,638435.0,16564.71875,1292.762573242188,120.4499969482422,2043.93994140625,37.27999877929688,1060.300048828125,16.70130271107758,2.13904214559387,0.3388122605363985,0.0708045977011494,3.394252873563218,2.862298850574712,1.452145593869732,0.268007662835249,1.800229885057471,0.988527380763824,-0.6047890020737119,0.1318053694302417,0.14490677932478,0.18019626865788,1,1,0,0.0,-15.65673346982508,0.00641918165881975,0.1836213226486795,0.7189968355295178,0.04110639301722104,6.4682,0.8799,0.8307833360088308,5.357725043814718,7.700531290541793,3.0591,,,1.176984079423104,0.5759574230570642,-0.402881682633396,0.644440257505032,0.3621937144546257,0.3211,0.3211,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2016,JP,JPY,Consumer Staples,Domestic Demand & Services,637164.0,40477.0,11739.0,19442.0,108819.0,444119.0,335300.0,224032.0,232657.0,137553.0,8625.0,26020.7351129364,2652.0,377972.815674,175585.815674,312.430277,3.0,13.6949,2.6528,1.842382808821591,6.352681570207984,20.8358,0.2450221674821388,0.7549778325178612,1.434669536768299,5.534797539343331,2.138,5.747881512957976,7.331070889894419,31.0396599155888,1.613558438085261,0.58375590078614,9.337965157348618,0.5932111915833287,-123.325014843667,14.81938333859928,0.6197482386734354,0.918471983234807,11.566814528916,0.001708566257749388,0.9201805494925565,3.0,-0.1990805641921223,-1.475062677993333,16.6002,1.3064148205791,-3.3038,3.974214953485333,28.80798330388112,-16.86066858776691,-1.360400241257287,18.70668401833924,-16.81617384112507,4.457956078387171,38.78444736631428,1.38174765545087,363.614591438975,12.07588318057661,558.7952880859375,464.8273010253906,1037526000.0,2298.4862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,637164.0,16908.126953125,1294.7216796875,116.2669982910156,2238.830078125,56.13000106811523,1150.0,15.85122603931646,1.842260536398467,-0.0617816091954023,-0.0242567049808429,3.136015325670498,2.874099616858238,1.005862068965517,-0.0375249042145593,1.90404214559387,-0.2324753980900012,-0.959013343364243,0.095966982848932,0.0745495904621815,0.2418391839553294,1,2,0,0.0,,-0.03215745129781973,0.6428523633899844,2.216605768203118,0.03707174080298465,13.5581,2.307,1.64339361093925,6.434954224000877,5.936397049874644,2.4403,0.736377025036819,8.09215559988323,0.3214609800362977,0.3515297586674038,-0.1694474794377982,0.3934583231289738,0.1280387528532352,0.2997,0.2997,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2017,JP,JPY,Consumer Staples,Domestic Demand & Services,635953.0,43776.0,14571.0,22646.0,141205.0,451876.0,310671.0,184510.0,207749.0,138440.0,23239.0,-2059.9622079987,2172.0,377488.433153,184021.433153,312.430277,3.0,13.4948,3.1732,2.291207054609381,6.883527556281675,21.1621,0.312486168771964,0.687513831228036,1.407361754109534,4.214866593567251,1.4713,4.745728252923977,10.42633517495396,26.1640577355445,1.303221792096597,0.584867505568022,8.623182409379568,0.5935791373780767,33.4365556246404,-1.119414283816601,0.767329096293901,1.27334465195246,13.186421370287,0.00163024488430417,1.274974896836764,3.5,-0.1900609576184431,8.15030758208366,15.5115,-1.60535825037474,1.7466,1.71922126527182,10.58084504538712,11.82945106354514,-5.936059958316131,-2.384729777198613,4.457956078387171,5.638877509901774,23.68892352643693,2.21755519364075,234.438162342378,12.1228075143345,472.2713623046875,493.3250122070312,732455800.0,2035.5037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,635953.0,20503.791015625,1581.0771484375,112.875,2673.610107421875,66.5999984741211,1306.300048828125,11.10503846682035,2.330230769230769,0.0512307692307692,-0.0489615384615384,2.854615384615384,2.112115384615385,0.9333461538461538,0.1001923076923076,2.279,0.4694808583197102,2.356461519744702,0.1955619098531232,0.1950581835226035,0.1130744332926064,1,3,1,0.0,,0.03680426092113478,-0.04705688523388843,-0.1413741135130533,0.1118609475857886,13.6949,2.6528,1.842382808821591,6.352681570207984,5.534797539343331,2.138,0.918471983234807,11.566814528916,-0.002330187151208136,0.16820546048232,-0.1646235886989303,0.1703870166635202,0.04203291752488714,0.2997,0.2997,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2018,JP,JPY,Consumer Staples,Domestic Demand & Services,683008.0,45293.0,15884.0,23489.0,157107.0,484622.0,327515.0,181196.0,203865.0,115058.0,22669.0,-18366.0311905668,2013.0,381810.190078,191832.190078,312.430277,5.0,13.4015,3.7019,2.325595014992504,6.631401096326837,20.6017,0.3241846222416646,0.6758153777583353,1.40936234838699,4.00052988320491,1.2976,4.501026648709513,11.66865375062096,21.4577272855948,1.221028917094719,0.544573774785215,8.429783632746782,0.5590127642399504,-431.494483490139,-9.57400902481438,0.818981422962014,1.30293159609121,14.4193043498327,0.002606444725448306,1.305538040816658,4.0,7.399131696839234,3.465369152046782,21.933,0.835481636110087,7.2467,2.275050109874766,3.305389443395734,19.85794181351159,26.39224331471344,-7.297290232325915,5.638877509901774,7.207736857059666,31.93901793289445,1.23626430686628,235.034487390606,12.16437625883006,493.3250122070312,521.1430053710938,734321200.0,2186.1134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,683008.0,18312.927734375,1331.142211914062,110.3300018310547,2506.85009765625,53.79999923706055,1278.300048828125,16.69371644381819,2.907739463601533,0.0683141762452107,-0.0601800766283524,2.458620689655173,1.886819923371647,0.3842911877394636,0.1284942528735632,2.839425287356322,1.017799217835575,1.89753928319302,-0.1416829870638463,-0.1905436866855864,0.1670840044152192,1,4,2,0.0,10.06424162982089,0.07067370278395697,-0.4054938111974654,-1.156259833201133,0.1111961346969809,13.4948,3.1732,2.291207054609381,6.883527556281675,4.214866593567251,1.4713,1.27334465195246,13.186421370287,-0.01084225152249762,0.112215135949674,-0.1673722917298728,0.150617191461961,0.05702224217129854,0.2974,0.2974,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2019,JP,JPY,Consumer Staples,Domestic Demand & Services,712111.0,43864.0,16133.0,21685.0,166159.0,477913.0,311754.0,182153.0,191057.0,104078.0,8904.0,11708.0452347084,1744.0,407871.540604,203704.540604,312.430277,202.0,10.8287,3.1955,2.265517594869339,6.15971386483287,19.4808,0.3476762506983488,0.6523237493016512,1.490043166852544,4.152676454495714,1.1498,4.355667517782236,12.43405963302752,24.185463604168,1.225961522421295,0.522317791423669,9.298548709739194,0.572763994102043,-45.6210284273887,5.747562229095691,0.8156862851820852,1.22699386503067,16.252306495871,0.0991632289594793,1.326157093990149,4.0,4.261004263493251,-3.155012915903121,-10.7636,-2.07684210216739,-1.3844,3.776452687889087,2.714866342934674,-0.8383032885689423,-1.027173949721971,7.528630123179525,7.207736857059666,-31.0784215523321,30.86476680516218,1.36102907268808,176.862532436317,12.22442589260957,521.9915771484375,559.6153564453125,540125800.0,2279.2637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,712111.0,22128.892578125,1566.512573242188,108.8730010986328,3230.780029296875,66.0,1519.5,15.40145588286535,2.14551724137931,-0.1117049808429118,-0.050015325670498,2.377777777777778,2.232835249042146,0.1719923371647509,-0.0616896551724137,2.257222222222222,0.4430143185677588,-1.915523994511496,0.1859020339645483,0.1515103304965677,0.1437272391364892,1,5,0,0.0,10.06424162982089,0.009258912742050542,0.2669169531895951,0.7257202773636893,0.04660389307902877,13.4015,3.7019,2.325595014992504,6.631401096326837,4.00052988320491,1.2976,1.30293159609121,14.4193043498327,-0.1060079522862826,-0.005599011886790057,-0.007542420644324458,0.05404141992996492,0.01921812697137152,0.2974,0.2974,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
1332,2020,JP,JPY,Consumer Staples,Domestic Demand & Services,690016.0,43776.0,17915.0,22834.0,172300.0,491533.0,319233.0,193867.0,221238.0,120877.0,27371.0,-3960.8721207307,1636.0,324684.298002,133095.298002,312.430277,2.0,9.8625,3.0467,2.596316607151139,6.344200714186337,19.3904,0.350535976221332,0.649464023778668,1.403804017227734,4.428613852339181,1.284,5.053865131578948,13.95721271393643,25.1860945807489,0.77246255369704,0.539042927654576,7.416947596902413,0.4705460424135093,24.0245604423524,-2.975966980194282,1.294561134664659,1.99530516431925,17.9825118804171,0.001502682686784282,1.996807847006034,4.5,-3.102746622366459,-0.2006200984862261,-3.973,-0.867314175812362,2.8499,2.756991427484334,0.0,-32.21335707487623,-13.56627771226673,-10.29083569673911,-31.0784215523321,31.24324662567808,24.25359610393875,0.904197955431686,185.853466435969,11.79882067695228,539.8741455078125,372.0897827148438,580661500.0,2208.544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,690016.0,26130.916015625,1681.838623046875,103.1210021972656,3756.070068359375,51.79999923706055,1893.099975585938,29.05030537743605,0.9004198473282443,-0.0076145038167938,-0.0338854961832061,2.716793893129771,2.70763358778626,0.4999236641221373,0.0262709923664122,0.9080343511450382,0.1747677794126374,-10.23016524294905,0.1655707067512699,0.0605338346362396,0.2129706162350843,1,6,1,0.0,8.738037300289214,0.04450539866241066,-0.0904804486643526,-0.221092499063952,0.1237174445619649,10.8287,3.1955,2.265517594869339,6.15971386483287,4.152676454495714,1.1498,1.22699386503067,16.252306495871,-0.1557078201491817,0.05649897563884679,0.05103601418574821,0.06655472735616241,0.01921812697137152,0.2974,0.2974,none,official_quasi_official,KPMG Corporate Tax Rates Table (OECD Data Explorer),https://kpmg.com/dk/en/services/tax/corporate-tax/corporate-tax-rates-table.html,1,,,,,,,source_unavailable,,,source_unavailable,no_tax_note,0,,
