ID;TRADEDATE;OPEN;CLOSE
MCFTR;2005-01-11;547,85;547,85
MCFTR;2005-01-12;545,31;545,31
MCFTR;2005-01-13;543,9;543,9
MCFTR;2005-01-14;548,69;548,69
MCFTR;2005-01-17;544,04;544,04
MCFTR;2005-01-18;535,94;535,94
MCFTR;2005-01-19;543,52;543,52
MCFTR;2005-01-20;534,6;534,6
MCFTR;2005-01-21;537,72;537,72
MCFTR;2005-01-24;548,23;548,23
MCFTR;2005-01-25;553,96;553,96
MCFTR;2005-01-26;552,68;552,68
MCFTR;2005-01-27;557,13;557,13
MCFTR;2005-01-28;571,65;571,65
MCFTR;2005-01-31;575,74;575,74
MCFTR;2005-02-01;583,33;583,33
MCFTR;2005-02-02;587,98;587,98
MCFTR;2005-02-03;593,25;593,25
MCFTR;2005-02-04;592,79;592,79
MCFTR;2005-02-07;588,16;588,16
MCFTR;2005-02-08;596,45;596,45
MCFTR;2005-02-09;590,03;590,03
MCFTR;2005-02-10;590,81;590,81
MCFTR;2005-02-11;585,5;585,5
MCFTR;2005-02-14;585,65;585,65
MCFTR;2005-02-15;591,73;591,73
MCFTR;2005-02-16;593,87;593,87
MCFTR;2005-02-17;598,11;598,11
MCFTR;2005-02-18;600,67;600,67
MCFTR;2005-02-21;605,26;605,26
MCFTR;2005-02-22;603,62;603,62
MCFTR;2005-02-24;619,55;619,55
MCFTR;2005-02-25;625,33;625,33
MCFTR;2005-02-28;635,38;635,38
MCFTR;2005-03-01;622,73;622,73
MCFTR;2005-03-02;608,57;608,57
MCFTR;2005-03-03;608,94;608,94
MCFTR;2005-03-04;622,31;622,31
MCFTR;2005-03-05;625,87;625,87
MCFTR;2005-03-09;623,74;623,74
MCFTR;2005-03-10;606,21;606,21
MCFTR;2005-03-11;608,45;608,45
MCFTR;2005-03-14;597,89;597,89
MCFTR;2005-03-15;595,16;595,16
MCFTR;2005-03-16;573,85;573,85
MCFTR;2005-03-17;584,31;584,31
MCFTR;2005-03-18;582,43;582,43
MCFTR;2005-03-21;572,03;572,03
MCFTR;2005-03-22;584,09;584,09
MCFTR;2005-03-23;573,76;573,76
MCFTR;2005-03-24;596,94;596,94
MCFTR;2005-03-25;602,4;602,4
MCFTR;2005-03-28;601,69;601,69
MCFTR;2005-03-29;596,89;596,89
MCFTR;2005-03-30;591,14;591,14
MCFTR;2005-03-31;598,04;598,04
MCFTR;2005-04-01;611,86;611,86
MCFTR;2005-04-04;605,32;605,32
MCFTR;2005-04-05;611,78;611,78
MCFTR;2005-04-06;626,45;626,45
MCFTR;2005-04-07;627,97;627,97
MCFTR;2005-04-08;631,13;631,13
MCFTR;2005-04-11;616,29;616,29
MCFTR;2005-04-12;615,94;615,94
MCFTR;2005-04-13;617,02;617,02
MCFTR;2005-04-14;608,31;608,31
MCFTR;2005-04-15;602,71;602,71
MCFTR;2005-04-18;591,12;591,12
MCFTR;2005-04-19;596,36;596,36
MCFTR;2005-04-20;594,91;594,91
MCFTR;2005-04-21;603,79;603,79
MCFTR;2005-04-22;609,78;609,78
MCFTR;2005-04-25;611,5;611,5
MCFTR;2005-04-26;605,85;605,85
MCFTR;2005-04-27;594,89;594,89
MCFTR;2005-04-28;595,68;595,68
MCFTR;2005-04-29;593,88;593,88
MCFTR;2005-05-03;597,45;597,45
MCFTR;2005-05-04;598,14;598,14
MCFTR;2005-05-05;599,49;599,49
MCFTR;2005-05-06;597,21;597,21
MCFTR;2005-05-11;589,25;589,25
MCFTR;2005-05-12;581,56;581,56
MCFTR;2005-05-13;580,04;580,04
MCFTR;2005-05-14;578,76;578,76
MCFTR;2005-05-16;564,43;564,43
MCFTR;2005-05-17;587;587
MCFTR;2005-05-18;587,35;587,35
MCFTR;2005-05-19;586,8;586,8
MCFTR;2005-05-20;585,68;585,68
MCFTR;2005-05-23;587,07;587,07
MCFTR;2005-05-24;605,32;605,32
MCFTR;2005-05-25;595,75;595,75
MCFTR;2005-05-26;597,09;597,09
MCFTR;2005-05-27;597,33;597,33
MCFTR;2005-05-30;596,15;596,15
MCFTR;2005-05-31;603,89;603,89
MCFTR;2005-06-01;601,29;601,29
MCFTR;2005-06-02;606,95;606,95
MCFTR;2005-06-03;609,09;609,09
MCFTR;2005-06-06;606,33;606,33
MCFTR;2005-06-07;606,78;606,78
MCFTR;2005-06-08;606,89;606,89
MCFTR;2005-06-09;605,43;605,43
MCFTR;2005-06-10;611,19;611,19
MCFTR;2005-06-14;619,97;619,97
MCFTR;2005-06-15;616,69;616,69
MCFTR;2005-06-16;618,93;618,93
MCFTR;2005-06-17;624,07;624,07
MCFTR;2005-06-20;624,66;624,66
MCFTR;2005-06-21;621,02;621,02
MCFTR;2005-06-22;628,26;628,26
MCFTR;2005-06-23;632,39;632,39
MCFTR;2005-06-24;632,9;632,9
MCFTR;2005-06-27;628,38;628,38
MCFTR;2005-06-28;629,27;629,27
MCFTR;2005-06-29;630,27;630,27
MCFTR;2005-06-30;641,06;641,06
MCFTR;2005-07-01;650,17;650,17
MCFTR;2005-07-04;654,36;654,36
MCFTR;2005-07-05;653,63;653,63
MCFTR;2005-07-06;672,72;672,72
MCFTR;2005-07-07;672,86;672,86
MCFTR;2005-07-08;682,99;682,99
MCFTR;2005-07-11;684,57;684,57
MCFTR;2005-07-12;680,01;680,01
MCFTR;2005-07-13;687,59;687,59
MCFTR;2005-07-14;684,04;684,04
MCFTR;2005-07-15;677,53;677,53
MCFTR;2005-07-18;671,57;671,57
MCFTR;2005-07-19;680,8;680,8
MCFTR;2005-07-20;688,55;688,55
MCFTR;2005-07-21;685,97;685,97
MCFTR;2005-07-22;696,51;696,51
MCFTR;2005-07-25;703,64;703,64
MCFTR;2005-07-26;693,18;693,18
MCFTR;2005-07-27;698,45;698,45
MCFTR;2005-07-28;703,28;703,28
MCFTR;2005-07-29;701,84;701,84
MCFTR;2005-08-01;703,53;703,53
MCFTR;2005-08-02;715,35;715,35
MCFTR;2005-08-03;703,19;703,19
MCFTR;2005-08-04;717,71;717,71
MCFTR;2005-08-05;720,86;720,86
MCFTR;2005-08-08;724;724
MCFTR;2005-08-09;725,99;725,99
MCFTR;2005-08-10;726,49;726,49
MCFTR;2005-08-11;714,91;714,91
MCFTR;2005-08-12;710,45;710,45
MCFTR;2005-08-15;719,86;719,86
MCFTR;2005-08-16;743,77;743,77
MCFTR;2005-08-17;752,27;752,27
MCFTR;2005-08-18;749,66;749,66
MCFTR;2005-08-19;762,01;762,01
MCFTR;2005-08-22;766,61;766,61
MCFTR;2005-08-23;766,89;766,89
MCFTR;2005-08-24;768,01;768,01
MCFTR;2005-08-25;771,97;771,97
MCFTR;2005-08-26;774,63;774,63
MCFTR;2005-08-29;779,23;779,23
MCFTR;2005-08-30;784,73;784,73
MCFTR;2005-08-31;790,68;790,68
MCFTR;2005-09-01;797,43;797,43
MCFTR;2005-09-02;810,23;810,23
MCFTR;2005-09-05;803,97;803,97
MCFTR;2005-09-06;778,44;778,44
MCFTR;2005-09-07;764,2;764,2
MCFTR;2005-09-08;779,93;779,93
MCFTR;2005-09-09;801,41;801,41
MCFTR;2005-09-12;798,71;798,71
MCFTR;2005-09-13;792,68;792,68
MCFTR;2005-09-14;796,45;796,45
MCFTR;2005-09-15;807,99;807,99
MCFTR;2005-09-16;817,89;817,89
MCFTR;2005-09-19;840,87;840,87
MCFTR;2005-09-20;843,35;843,35
MCFTR;2005-09-21;865,86;865,86
MCFTR;2005-09-22;867,09;867,09
MCFTR;2005-09-23;871,62;871,62
MCFTR;2005-09-26;860,75;860,75
MCFTR;2005-09-27;898,99;898,99
MCFTR;2005-09-28;894;894
MCFTR;2005-09-29;886,37;886,37
MCFTR;2005-09-30;899,79;899,79
MCFTR;2005-10-03;940,49;940,49
MCFTR;2005-10-04;947,11;947,11
MCFTR;2005-10-05;906,33;906,33
MCFTR;2005-10-06;853,4;853,4
MCFTR;2005-10-07;850,38;850,38
MCFTR;2005-10-10;879,03;879,03
MCFTR;2005-10-11;908,91;908,91
MCFTR;2005-10-12;866,72;866,72
MCFTR;2005-10-13;848,32;848,32
MCFTR;2005-10-14;815,91;815,91
MCFTR;2005-10-17;826,56;826,56
MCFTR;2005-10-18;828,33;828,33
MCFTR;2005-10-19;792,98;792,98
MCFTR;2005-10-20;797,66;797,66
MCFTR;2005-10-21;804,46;804,46
MCFTR;2005-10-24;827,64;827,64
MCFTR;2005-10-25;818,73;818,73
MCFTR;2005-10-26;826,56;826,56
MCFTR;2005-10-27;806,84;806,84
MCFTR;2005-10-28;825,32;825,32
MCFTR;2005-10-31;849,4;849,4
MCFTR;2005-11-01;851,32;851,32
MCFTR;2005-11-02;880,47;880,47
MCFTR;2005-11-03;887,31;887,31
MCFTR;2005-11-07;887,64;887,64
MCFTR;2005-11-08;887,33;887,33
MCFTR;2005-11-09;892,07;892,07
MCFTR;2005-11-10;881,67;881,67
MCFTR;2005-11-11;887,5;887,5
MCFTR;2005-11-14;911,32;911,32
MCFTR;2005-11-15;912,25;912,25
MCFTR;2005-11-16;913,26;913,26
MCFTR;2005-11-17;937,58;937,58
MCFTR;2005-11-18;935,72;935,72
MCFTR;2005-11-21;937,71;937,71
MCFTR;2005-11-22;931,38;931,38
MCFTR;2005-11-23;928,03;928,03
MCFTR;2005-11-24;939,08;939,08
MCFTR;2005-11-25;948,31;948,31
MCFTR;2005-11-28;947,96;947,96
MCFTR;2005-11-29;945,3;945,3
MCFTR;2005-11-30;952,26;952,26
MCFTR;2005-12-01;978,26;978,26
MCFTR;2005-12-02;994,87;994,87
MCFTR;2005-12-05;994,69;994,69
MCFTR;2005-12-06;992,21;992,21
MCFTR;2005-12-07;1000,69;1000,69
MCFTR;2005-12-08;1002,72;1002,72
MCFTR;2005-12-09;1003,92;1003,92
MCFTR;2005-12-12;1012,2;1012,2
MCFTR;2005-12-13;1007,89;1007,89
MCFTR;2005-12-14;1006,05;1006,05
MCFTR;2005-12-15;1002,37;1002,37
MCFTR;2005-12-16;1005,92;1005,92
MCFTR;2005-12-19;1010,25;1010,25
MCFTR;2005-12-20;1005,55;1005,55
MCFTR;2005-12-21;1011,61;1011,61
MCFTR;2005-12-22;1030,3;1030,3
MCFTR;2005-12-23;1025,91;1025,91
MCFTR;2005-12-26;1028,34;1028,34
MCFTR;2005-12-27;1023,3;1023,3
MCFTR;2005-12-28;1014,42;1014,42
MCFTR;2005-12-29;1020,01;1020,01
MCFTR;2005-12-30;1020,91;1020,91
MCFTR;2006-01-10;1079,14;1079,14
MCFTR;2006-01-11;1102,57;1102,57
MCFTR;2006-01-12;1144,84;1144,84
MCFTR;2006-01-13;1129,1;1129,1
MCFTR;2006-01-16;1165,72;1165,72
MCFTR;2006-01-17;1139,82;1139,82
MCFTR;2006-01-18;1118,46;1118,46
MCFTR;2006-01-19;1163,14;1163,14
MCFTR;2006-01-20;1184,66;1184,66
MCFTR;2006-01-23;1159,39;1159,39
MCFTR;2006-01-24;1178,95;1178,95
MCFTR;2006-01-25;1194,87;1194,87
MCFTR;2006-01-26;1202,98;1202,98
MCFTR;2006-01-27;1243,45;1243,45
MCFTR;2006-01-30;1202,24;1202,24
MCFTR;2006-01-31;1187,1;1187,1
MCFTR;2006-02-01;1217,38;1217,38
MCFTR;2006-02-02;1211,11;1211,11
MCFTR;2006-02-03;1179,31;1179,31
MCFTR;2006-02-06;1210,19;1210,19
MCFTR;2006-02-07;1201,93;1201,93
MCFTR;2006-02-08;1221,16;1221,16
MCFTR;2006-02-09;1254,14;1254,14
MCFTR;2006-02-10;1245,8;1245,8
MCFTR;2006-02-13;1254,73;1254,73
MCFTR;2006-02-14;1259,6;1259,6
MCFTR;2006-02-15;1254,1;1254,1
MCFTR;2006-02-16;1271,83;1271,83
MCFTR;2006-02-17;1318,43;1318,43
MCFTR;2006-02-20;1355,15;1355,15
MCFTR;2006-02-21;1335,6;1335,6
MCFTR;2006-02-22;1366,7;1366,7
MCFTR;2006-02-26;1417,78;1417,78
MCFTR;2006-02-27;1407,32;1407,32
MCFTR;2006-02-28;1338,48;1338,48
MCFTR;2006-03-01;1357;1357
MCFTR;2006-03-02;1366;1366
MCFTR;2006-03-03;1369,7;1369,7
MCFTR;2006-03-06;1357,37;1357,37
MCFTR;2006-03-07;1281,24;1281,24
MCFTR;2006-03-09;1255,56;1255,56
MCFTR;2006-03-10;1251,63;1251,63
MCFTR;2006-03-13;1294,88;1294,88
MCFTR;2006-03-14;1259,46;1259,46
MCFTR;2006-03-15;1274,83;1274,83
MCFTR;2006-03-16;1272,86;1272,86
MCFTR;2006-03-17;1308,03;1308,03
MCFTR;2006-03-20;1291,51;1291,51
MCFTR;2006-03-21;1282,12;1282,12
MCFTR;2006-03-22;1300,33;1300,33
MCFTR;2006-03-23;1309,44;1309,44
MCFTR;2006-03-24;1311,58;1311,58
MCFTR;2006-03-27;1311,65;1311,65
MCFTR;2006-03-28;1292,54;1292,54
MCFTR;2006-03-29;1270,97;1270,97
MCFTR;2006-03-30;1315,81;1315,81
MCFTR;2006-03-31;1319,07;1319,07
MCFTR;2006-04-03;1337,08;1337,08
MCFTR;2006-04-04;1328,38;1328,38
MCFTR;2006-04-05;1356,48;1356,48
MCFTR;2006-04-06;1365,36;1365,36
MCFTR;2006-04-07;1395,16;1395,16
MCFTR;2006-04-10;1430,28;1430,28
MCFTR;2006-04-11;1416,37;1416,37
MCFTR;2006-04-12;1441,11;1441,11
MCFTR;2006-04-13;1416,92;1416,92
MCFTR;2006-04-14;1434,86;1434,86
MCFTR;2006-04-17;1451,45;1451,45
MCFTR;2006-04-18;1463,57;1463,57
MCFTR;2006-04-19;1479,87;1479,87
MCFTR;2006-04-20;1471,36;1471,36
MCFTR;2006-04-21;1480,84;1480,84
MCFTR;2006-04-24;1493,22;1493,22
MCFTR;2006-04-25;1476,89;1476,89
MCFTR;2006-04-26;1523,61;1523,61
MCFTR;2006-04-27;1473,26;1473,26
MCFTR;2006-04-28;1509,6;1509,6
MCFTR;2006-05-02;1561,94;1561,94
MCFTR;2006-05-03;1554,52;1554,52
MCFTR;2006-05-04;1584,62;1584,62
MCFTR;2006-05-05;1585,92;1585,92
MCFTR;2006-05-06;1609,29;1609,29
MCFTR;2006-05-10;1567,37;1567,37
MCFTR;2006-05-11;1557,99;1557,99
MCFTR;2006-05-12;1506,32;1506,32
MCFTR;2006-05-15;1419,59;1419,59
MCFTR;2006-05-16;1425,43;1425,43
MCFTR;2006-05-17;1364,42;1364,42
MCFTR;2006-05-18;1328,5;1328,5
MCFTR;2006-05-19;1285,24;1285,24
MCFTR;2006-05-22;1161,26;1161,26
MCFTR;2006-05-23;1285,26;1285,26
MCFTR;2006-05-24;1234,83;1234,83
MCFTR;2006-05-25;1293,87;1293,87
MCFTR;2006-05-26;1362,52;1362,52
MCFTR;2006-05-29;1333,95;1333,95
MCFTR;2006-05-30;1323,47;1323,47
MCFTR;2006-05-31;1301,1;1301,1
MCFTR;2006-06-01;1318,71;1318,71
MCFTR;2006-06-02;1384,35;1384,35
